distance_group,noise_type,tre_delta,re_delta,gap_delta
Near,marker-only,1.2885929461044128,3.1415034479998445,0.9284544525890805
Near,target-only,1.7443711481625699,2.457069462239274,1.0964205287243933
Mid,marker-only,3.1524255333016336,13.30340104041916,2.510545455032366
Mid,target-only,1.900013510824334,3.407445415707613,1.070047640150318
Far,marker-only,10.019104832843652,15.521253966017706,6.859363534443794
Far,target-only,2.0518949389460377,2.8412969279829974,1.4366635298060588
