angle_group,noise_type,tre_delta,re_delta,gap_delta
Low,marker-only,22.30700252937671,13.30340104041916,2.5712116228149187
Low,target-only,3.7213934980332413,2.2297279913062584,1.0964205287243933
Medium,marker-only,3.1524255333016336,7.603960167620966,1.8418369610857768
Medium,target-only,1.900013510824334,2.882059598687429,1.1581556130049464
High,marker-only,2.846349114910291,14.115257759970447,2.510545455032366
High,target-only,1.5621565550190077,2.8412969279829974,1.2309924304932376
