source_table,analysis_row_kind,ray_gap_regime,usable_for_ray_gap_distribution,timestamp,experiment_record_id,experiment_family,dataset,projection_mode,point_id,distance_group,distance_order,base_condition_id,angle_group,angle_order,shot2_angle_deg,shot3_angle_m3_m1_deg,shot3_angle_m3_m2_deg,testpoint_x,testpoint_y,testpoint_z,testpoint_marker_distance_mean_mm,noise_type,noise_sigma_px,repeat_index,success_flag,is_clean_baseline,tre_mm_raw,re_px_raw,ray_gap_mm_raw,marker_sort_rms,calibration_reproj_rms,markers_sorted,perspective_calibration_ready
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T09:14:51+08:00,20260321_091451_181229,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-13.69535542,90.66418457,-182.1198578,54.65451673,baseline,0.0,3,1,1,0.05,0.16,0.0,0.0674419423333333,0.0632505906666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T09:15:33+08:00,20260321_091533_418400,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-13.69535542,90.66418457,-182.1198578,54.65451673,baseline,0.0,4,1,1,0.05,0.11,0.0,0.071272028,0.0693087336666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T09:16:13+08:00,20260321_091613_548635,standard_reconstruction,CTChest,perspective,tp_-13.70_90.66_-182.12,Near,1,CTChest__perspective__tp_-13.70_90.66_-182.12__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-13.69535542,90.66418457,-182.1198578,54.65451673,baseline,0.0,5,1,1,0.02,0.0,0.0,0.05323526,0.0470603603333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:20:56+08:00,20260321_102056_321219,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-141.1487427,-53.01185989,-92.40821838,254.4171139,baseline,0.0,1,1,1,0.4,0.36,0.0,0.0575244963333333,0.0562424353333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:21:30+08:00,20260321_102130_705767,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-141.1487427,-53.01185989,-92.40821838,254.4171139,baseline,0.0,2,1,1,0.39,0.18,0.0,0.062428066,0.0605345013333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:22:01+08:00,20260321_102201_893226,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-141.1487427,-53.01185989,-92.40821838,254.4171139,baseline,0.0,3,1,1,0.56,0.32,0.0,0.065669725,0.0633526073333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:22:38+08:00,20260321_102238_719223,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-141.1487427,-53.01185989,-92.40821838,254.4171139,baseline,0.0,4,1,1,0.53,0.13,0.0,0.0583408356666666,0.0569021939999999,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:25:24+08:00,20260321_102524_456282,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-141.1487427,-53.01185989,-92.40821838,254.4171139,baseline,0.0,5,1,1,0.89,0.14,0.0,0.0411373803333333,0.039637557,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:26:03+08:00,20260321_102603_115528,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-141.1487427,-53.01185989,-92.40821838,254.4171139,baseline,0.0,6,1,1,0.14,0.37,0.0,0.056624937,0.0542395586666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:26:51+08:00,20260321_102651_634285,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_16.17__shot3m3m1_0.40__shot3m3m2_15.89,Low,1,16.17,0.4,15.89,-141.1487427,-53.01185989,-92.40821838,254.4171139,baseline,0.0,7,1,1,0.47,0.46,0.0,0.0585447596666666,0.0540493306666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:34:27+08:00,20260321_103427_337422,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-141.149,-53.012,-92.40821838,257.4580015,baseline,0.0,1,1,1,0.24,0.26,0.0,0.0652820276666666,0.0635765226666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:35:16+08:00,20260321_103516_275030,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-141.149,-53.012,-92.40821838,257.4580015,baseline,0.0,2,1,1,0.25,0.24,0.0,0.0584912686666666,0.0545293363333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:35:55+08:00,20260321_103555_454200,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-141.149,-53.012,-92.40821838,257.4580015,baseline,0.0,3,1,1,0.16,0.08,0.0,0.0647742946666666,0.0628914216666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:36:46+08:00,20260321_103646_449904,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-141.149,-53.012,-92.40821838,257.4580015,baseline,0.0,4,1,1,0.35,0.06,0.0,0.065271682,0.0623742506666666,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:37:26+08:00,20260321_103726_218534,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-141.149,-53.012,-92.40821838,257.4580015,baseline,0.0,5,1,1,0.29,0.12,0.0,0.0597951503333333,0.0571932953333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:38:07+08:00,20260321_103807_943441,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_46.99__shot3m3m1_43.10__shot3m3m2_67.87,Medium,2,46.99,43.1,67.87,-141.149,-53.012,-92.40821838,257.4580015,baseline,0.0,6,1,1,0.35,0.64,0.0,0.0644281496666666,0.0616883923333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:45:52+08:00,20260321_104552_031686,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-141.149,-53.012,-92.40821838,261.1160849,baseline,0.0,1,1,1,0.25,0.28,0.0,0.0650068856666666,0.0592400123333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:46:37+08:00,20260321_104637_073485,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-141.149,-53.012,-92.40821838,261.1160849,baseline,0.0,2,1,1,0.09,0.16,0.0,0.0700524833333333,0.0657232523333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:47:20+08:00,20260321_104720_103533,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-141.149,-53.012,-92.40821838,261.1160849,baseline,0.0,3,1,1,0.12,0.15,0.0,0.054551152,0.0528714833333333,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:48:42+08:00,20260321_104842_902164,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-141.149,-53.012,-92.40821838,261.1160849,baseline,0.0,4,1,1,0.31,0.35,0.0,0.061681714,0.059911388,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:49:29+08:00,20260321_104929_273746,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-141.149,-53.012,-92.40821838,261.1160849,baseline,0.0,5,1,1,0.39,0.79,0.0,0.0612866713333333,0.05842633,1,1
experiment_results.csv,baseline_reference,snapped_zero_gap,0,2026-03-21T10:50:12+08:00,20260321_105012_539574,standard_reconstruction,CTChest,perspective,tp_-141.15_-53.01_-92.41,Far,3,CTChest__perspective__tp_-141.15_-53.01_-92.41__shot2_79.61__shot3m3m1_73.60__shot3m3m2_85.47,High,3,79.61,73.6,85.47,-141.149,-53.012,-92.40821838,261.1160849,baseline,0.0,6,1,1,0.12,0.16,0.0,0.0574258653333333,0.0548630433333333,1,1
